id	 artist	 title	 date	 materials	 address	 description	 type	 url1	 url2	 loc_lat	, loc_long
ID_00001	 Greg Duncan	 Bust of Cecil Voss	 1998	 Stone	 Soundy Park	 Stone Sculpture	 Art	 http://hccapps.hobartcity.com.au/gis/PublicArt/image44.jpeg	 	 -42.87274312254961	 147.3194931771939
ID_00002	 Julie Stoneman (Community Facilitator)	 Community Paving Project	 1994	 Pavers	 Elizabeth Street and side streets, North Hobart	 <Null>	 Art	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0003.JPG	 	 -42.87335406456058	 147.3155023364818
ID_00003	 Gerhardt Mauz/Kieran Bradley	 Lightpoles	 2005	 Steel	 Elizabeth Street	 Lightpoles and Photography	 Art	 http://hccapps.hobartcity.com.au/gis/PublicArt/image47.jpeg	 	 -42.87248026228411	 147.3146246779994
ID_00004	 Peter Gouldthorpe	 Tony Haigh Walk	 2000	 <Null>	 <Null>	 2 Trompe l'oeil murals	 Art	 http://hccapps.hobartcity.com.au/gis/PublicArt/image48.jpeg	 	 -42.87390719414243	 147.3160684555258
ID_00005	 Gehard Mausz	 Cultural Bollard	 2000	 Steel	 Elizabeth Street	 Patterened Steel Cylinder	 Art	 http://hccapps.hobartcity.com.au/gis/PublicArt/image49.jpeg	 	 -42.87367152314735	 147.3159246123297
ID_00006	 Peter Battaglene	 Art Pavers	 2005	 pavers	 Elizabeth Street	 Sandblasted decorative pavers	 Art	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0003.JPG	 	 -42.87364565236186	 147.3158682993458
ID_00007	 Sharyn Woods	 Fences	 2005	 Stainless Steel	 <Null>	 Sections of open patterned stainless steel fencing	 Art	 http://hccapps.hobartcity.com.au/gis/PublicArt/image51.jpeg	 	 -42.8727237856192	 147.314837027175
ID_00008	 Sharyn Woods	 Tree Guards	 2005	 stainless steel	 Elizabeth Street	 welded stainless strip boxes	 <Null>	 http://hccapps.hobartcity.com.au/gis/PublicArt/image50.jpeg	 	 -42.87303057453714	 147.3151984679925
ID_00009	 Roland Gabatel	 Tree Sculpture	 2000	 Timber	 Friends Park, Mellifont Street.	 Chainsaw sculpture	 <Null>	 http://hccapps.hobartcity.com.au/gis/PublicArt/image52.jpeg	 	 -42.87672267866007	 147.3084070417308
ID_00010	 Peter Taylor	 Archway	 1988	 Timber	 Hunter Street, Universtiy of Tasmania Art School	 <Null>	 <Null>	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0066.JPG	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0067.JPG	 -42.88144240159926	 147.3363089134809
ID_00011	 Stephen Walker	 The Bernacchi Tribute: Self Portrait, Lous and Joe	 1988	 Bronze	 Victoria Dock	 Bronze sculpture	 <Null>	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0063.jpg	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0064.jpg	 -42.88225238834132	 147.3351723782548
ID_00012	 David Hurst	 Troyseas	 2004	 Bronze	 Mures Fish Centre, waterfront	 Bronze seahorse	 <Null>	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0078.JPG	 	 -42.88228652932703	 147.3337098270266
ID_00013	 Iam Makay	 Bright Prospect	 1979	 Steel, Paint	 TMAG, 40 Macquarie Street	 Orange painted constructavist steel sculpture	 <Null>	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0071.jpg	 	 -42.88163573405019	 147.3319416460867
ID_00014	 John Arnold	 Mural, Kent & Kent Antiques	 1998	 Paint	 On the wall of Kent and Kent Antiques	 Painted Mural	 Public Art	 http://hccapps.hobartcity.com.au/gis/PublicArt/image34.jpeg	 	 -42.88295423519235	 147.3321544209718
